company_key,filing_month_year,status,filing_date,expected_by,pdf_url,notes,last_checked
ASHOKLEY,2024-11,CLEAN,2024-11-22,,,sample data,2026-05-14T03:14:17.625280Z
ASHOKLEY,2024-12,CLEAN,2024-12-22,,,sample data,2026-05-14T03:14:17.625408Z
ASHOKLEY,2025-01,CLEAN,2025-01-23,,,sample data,2026-05-14T03:14:17.625465Z
ASHOKLEY,2025-02,CLEAN,2025-02-19,,,sample data,2026-05-14T03:14:17.625512Z
ASHOKLEY,2025-03,CLEAN,2025-03-22,,,sample data,2026-05-14T03:14:17.625641Z
ASHOKLEY,2025-04,CLEAN,2025-04-23,,,sample data,2026-05-14T03:14:17.625718Z
ASHOKLEY,2025-05,CLEAN,2025-05-24,,,sample data,2026-05-14T03:14:17.625764Z
ASHOKLEY,2025-06,CLEAN,2025-06-20,,,sample data,2026-05-14T03:14:17.625805Z
ASHOKLEY,2025-07,CLEAN,2025-07-20,,,sample data,2026-05-14T03:14:17.625908Z
ASHOKLEY,2025-08,CLEAN,2025-08-20,,,sample data,2026-05-14T03:14:17.625962Z
ASHOKLEY,2025-09,CLEAN,2025-09-21,,,sample data,2026-05-14T03:14:17.626004Z
ASHOKLEY,2025-10,CLEAN,2025-10-21,,,sample data,2026-05-14T03:14:17.626045Z
ASHOKLEY,2025-11,CLEAN,2025-11-16,,,sample data,2026-05-14T03:14:17.626085Z
ASHOKLEY,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.626124Z
ASHOKLEY,2026-01,CLEAN,2026-01-19,,,sample data,2026-05-14T03:14:17.626164Z
ASHOKLEY,2026-02,CLEAN,2026-02-18,,,sample data,2026-05-14T03:14:17.626204Z
ASHOKLEY,2026-03,CLEAN,2026-03-19,,,sample data,2026-05-14T03:14:17.626243Z
ASHOKLEY,2026-04,CLEAN,2026-04-18,,,sample data,2026-05-14T03:14:17.626282Z
BAJAJ,2024-11,CLEAN,2024-11-25,,,sample data,2026-05-14T03:14:17.626321Z
BAJAJ,2024-12,CLEAN,2024-12-24,,,sample data,2026-05-14T03:14:17.626359Z
BAJAJ,2025-01,CLEAN,2025-01-21,,,sample data,2026-05-14T03:14:17.626398Z
BAJAJ,2025-02,CLEAN,2025-02-20,,,sample data,2026-05-14T03:14:17.626436Z
BAJAJ,2025-03,CLEAN,2025-03-23,,,sample data,2026-05-14T03:14:17.626476Z
BAJAJ,2025-04,CLEAN,2025-04-20,,,sample data,2026-05-14T03:14:17.626515Z
BAJAJ,2025-05,CLEAN,2025-05-21,,,sample data,2026-05-14T03:14:17.626553Z
BAJAJ,2025-06,CLEAN,2025-06-21,,,sample data,2026-05-14T03:14:17.626592Z
