company_key,segment,filing_month_year,raw_category,normalized_category,units,is_export,notes
ASHOKLEY,CV,2024-05,LCV,LCV,5197,False,sample
ASHOKLEY,CV,2024-05,MHCV,MHCV,7095,False,sample
ASHOKLEY,CV,2024-05,Bus,Bus,3188,False,sample
ASHOKLEY,CV,2024-06,LCV,LCV,4711,False,sample
ASHOKLEY,CV,2024-06,MHCV,MHCV,6677,False,sample
ASHOKLEY,CV,2024-06,Bus,Bus,2697,False,sample
ASHOKLEY,CV,2024-07,LCV,LCV,4374,False,sample
ASHOKLEY,CV,2024-07,MHCV,MHCV,6063,False,sample
ASHOKLEY,CV,2024-07,Bus,Bus,2619,False,sample
ASHOKLEY,CV,2024-08,LCV,LCV,4613,False,sample
ASHOKLEY,CV,2024-08,MHCV,MHCV,6058,False,sample
ASHOKLEY,CV,2024-08,Bus,Bus,2647,False,sample
ASHOKLEY,CV,2024-09,LCV,LCV,5951,False,sample
ASHOKLEY,CV,2024-09,MHCV,MHCV,8017,False,sample
ASHOKLEY,CV,2024-09,Bus,Bus,3475,False,sample
ASHOKLEY,CV,2024-10,LCV,LCV,6546,False,sample
ASHOKLEY,CV,2024-10,MHCV,MHCV,8218,False,sample
ASHOKLEY,CV,2024-10,Bus,Bus,3620,False,sample
ASHOKLEY,CV,2024-11,LCV,LCV,5576,False,sample
ASHOKLEY,CV,2024-11,MHCV,MHCV,7783,False,sample
ASHOKLEY,CV,2024-11,Bus,Bus,3175,False,sample
ASHOKLEY,CV,2024-12,LCV,LCV,5524,False,sample
ASHOKLEY,CV,2024-12,MHCV,MHCV,7432,False,sample
ASHOKLEY,CV,2024-12,Bus,Bus,3106,False,sample
ASHOKLEY,CV,2025-01,LCV,LCV,5031,False,sample
ASHOKLEY,CV,2025-01,MHCV,MHCV,6851,False,sample
ASHOKLEY,CV,2025-01,Bus,Bus,3050,False,sample
ASHOKLEY,CV,2025-02,LCV,LCV,5114,False,sample
ASHOKLEY,CV,2025-02,MHCV,MHCV,6883,False,sample
ASHOKLEY,CV,2025-02,Bus,Bus,2977,False,sample
ASHOKLEY,CV,2025-03,LCV,LCV,5985,False,sample
ASHOKLEY,CV,2025-03,MHCV,MHCV,8457,False,sample
ASHOKLEY,CV,2025-03,Bus,Bus,3759,False,sample
ASHOKLEY,CV,2025-04,LCV,LCV,5695,False,sample
ASHOKLEY,CV,2025-04,MHCV,MHCV,7800,False,sample
ASHOKLEY,CV,2025-04,Bus,Bus,3396,False,sample
ASHOKLEY,CV,2025-05,LCV,LCV,5486,False,sample
ASHOKLEY,CV,2025-05,MHCV,MHCV,7447,False,sample
ASHOKLEY,CV,2025-05,Bus,Bus,3197,False,sample
ASHOKLEY,CV,2025-06,LCV,LCV,4777,False,sample
ASHOKLEY,CV,2025-06,MHCV,MHCV,6468,False,sample
