company_key,segment,filing_month_year,domestic,exports,total,yoy_pct,mom_pct,source,filing_date,parser_version,extraction_method,parser_status,confidence_score,raw_row_hash,data_vintage,last_updated,review_note
ASHOKLEY,CV,2024-05,13344,1800,15144,,,NSE,2024-06-05,ASHOKLEY_V1,MANUAL,MANUAL,0.85,sample_ASHOKLEY_CV_2024-05,2026-05-23T07:00:39.123825Z,2026-05-23T07:00:39.123825Z,Manually corrected after analyst review
ASHOKLEY,CV,2024-06,12053,1538,13591,,-0.1025,NSE,2024-07-07,ASHOKLEY_V1,MANUAL,CLEAN,0.88,sample_ASHOKLEY_CV_2024-06,2026-05-23T07:00:39.131298Z,2026-05-23T07:00:39.131298Z,
ASHOKLEY,CV,2024-07,12033,1696,13729,,0.0102,NSE,2024-08-07,ASHOKLEY_V1,MANUAL,CLEAN,0.86,sample_ASHOKLEY_CV_2024-07,2026-05-23T07:00:39.168939Z,2026-05-23T07:00:39.168939Z,
ASHOKLEY,CV,2024-08,12573,1406,13979,,0.0182,BSE,2024-09-05,ASHOKLEY_V1,MANUAL,CLEAN,0.95,sample_ASHOKLEY_CV_2024-08,2026-05-23T07:00:39.190882Z,2026-05-23T07:00:39.190882Z,
ASHOKLEY,CV,2024-09,15285,2013,17298,,0.2374,NSE,2024-10-05,ASHOKLEY_V1,MANUAL,CLEAN,0.89,sample_ASHOKLEY_CV_2024-09,2026-05-23T07:00:39.204691Z,2026-05-23T07:00:39.204691Z,
ASHOKLEY,CV,2024-10,18047,2279,20326,,0.175,NSE,2024-11-05,ASHOKLEY_V1,MANUAL,CLEAN,0.86,sample_ASHOKLEY_CV_2024-10,2026-05-23T07:00:39.214812Z,2026-05-23T07:00:39.214812Z,
ASHOKLEY,CV,2024-11,13925,1870,15795,,-0.2229,NSE,2024-12-05,ASHOKLEY_V1,MANUAL,CLEAN,0.87,sample_ASHOKLEY_CV_2024-11,2026-05-23T07:00:39.228537Z,2026-05-23T07:00:39.228537Z,
ASHOKLEY,CV,2024-12,14828,1803,16631,,0.0529,NSE,2025-01-07,ASHOKLEY_V1,MANUAL,CLEAN,0.89,sample_ASHOKLEY_CV_2024-12,2026-05-23T07:00:39.236161Z,2026-05-23T07:00:39.236161Z,
ASHOKLEY,CV,2025-01,13444,1755,15199,,-0.0861,NSE,2025-02-07,ASHOKLEY_V1,MANUAL,CLEAN,0.88,sample_ASHOKLEY_CV_2025-01,2026-05-23T07:00:39.242133Z,2026-05-23T07:00:39.242133Z,
ASHOKLEY,CV,2025-02,13341,1493,14834,,-0.024,NSE,2025-03-06,ASHOKLEY_V1,MANUAL,CLEAN,0.99,sample_ASHOKLEY_CV_2025-02,2026-05-23T07:00:39.255404Z,2026-05-23T07:00:39.255404Z,
ASHOKLEY,CV,2025-03,16962,2367,19329,,0.303,NSE,2025-04-05,ASHOKLEY_V1,MANUAL,CLEAN,0.91,sample_ASHOKLEY_CV_2025-03,2026-05-23T07:00:39.270047Z,2026-05-23T07:00:39.270047Z,
ASHOKLEY,CV,2025-04,13460,1722,15182,,-0.2145,NSE,2025-05-06,ASHOKLEY_V1,MANUAL,CLEAN,0.98,sample_ASHOKLEY_CV_2025-04,2026-05-23T07:00:39.289763Z,2026-05-23T07:00:39.289763Z,
