filing_month_year,segment,retail_total,yoy_pct,source,filing_date,source_url,notes
2024-06,PV,210643,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-06,2W,824242,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-06,3W,92386,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-06,CV,49283,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-06,Tractor,48194,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-06,EV,32371,,FADA,2024-07-04,https://fada.in/media-press-releases/,
2024-07,PV,223419,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-07,2W,861508,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-07,3W,97218,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-07,CV,50437,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-07,Tractor,48530,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-07,EV,33537,,FADA,2024-08-02,https://fada.in/media-press-releases/,
2024-08,PV,223682,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-08,2W,933166,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-08,3W,106253,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-08,CV,56449,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-08,Tractor,38137,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-08,EV,36595,,FADA,2024-09-05,https://fada.in/media-press-releases/,
2024-09,PV,252056,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-09,2W,971703,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-09,3W,113800,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-09,CV,60451,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-09,Tractor,36517,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-09,EV,37755,,FADA,2024-10-02,https://fada.in/media-press-releases/,
2024-10,PV,313450,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-10,2W,1227443,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-10,3W,132114,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-10,CV,70798,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-10,Tractor,41314,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-10,EV,48607,,FADA,2024-11-03,https://fada.in/media-press-releases/,
2024-11,PV,298098,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-11,2W,1218641,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-11,3W,131777,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-11,CV,73055,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-11,Tractor,43440,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-11,EV,47040,,FADA,2024-12-04,https://fada.in/media-press-releases/,
2024-12,PV,273740,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2024-12,2W,1107363,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2024-12,3W,123936,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2024-12,CV,64926,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2024-12,Tractor,41182,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2024-12,EV,41795,,FADA,2025-01-03,https://fada.in/media-press-releases/,
2025-01,PV,254465,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-01,2W,1051856,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-01,3W,113528,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-01,CV,61588,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-01,Tractor,44947,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-01,EV,41962,,FADA,2025-02-04,https://fada.in/media-press-releases/,
2025-02,PV,243297,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-02,2W,979210,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-02,3W,107567,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-02,CV,56877,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-02,Tractor,47924,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-02,EV,41316,,FADA,2025-03-05,https://fada.in/media-press-releases/,
2025-03,PV,273122,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-03,2W,1119871,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-03,3W,118694,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-03,CV,66501,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-03,Tractor,51179,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-03,EV,44782,,FADA,2025-04-04,https://fada.in/media-press-releases/,
2025-04,PV,238705,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-04,2W,955354,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-04,3W,104212,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-04,CV,56395,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-04,Tractor,49657,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-04,EV,39722,,FADA,2025-05-01,https://fada.in/media-press-releases/,
2025-05,PV,223093,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-05,2W,902786,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-05,3W,101463,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-05,CV,54145,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-05,Tractor,41696,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-05,EV,40346,,FADA,2025-06-02,https://fada.in/media-press-releases/,
2025-06,PV,225122,0.0687,FADA,2025-07-02,https://fada.in/media-press-releases/,
2025-06,2W,885517,0.0743,FADA,2025-07-02,https://fada.in/media-press-releases/,
